bus_id1,bus_id2,country1,country2,circuit,underground,in_construction,is_dc,voltage,line_length,r,x,b,fmax
2339,7308,XX,XX,2,false,false,false,220.0,17.753822133,1.118490794379,6.391375967879999,0.0,490.0
5509,7308,CH,CH,2,false,false,false,220.0,11.683245277,0.7360444524509999,4.205968299719999,0.0,490.0
5550,7310,XX,XX,2,false,false,false,380.0,19.055125378,0.533543510584,5.04960822517,0.0,1700.0
5546,7310,XX,XX,2,false,false,false,380.0,19.055125378,0.533543510584,5.04960822517,0.0,1700.0
5534,7325,CH,DE,1,false,false,false,380.0,33.67046252,0.9427729505600001,8.922672567800001,0.0,1700.0
5612,7355,XX,XX,2,false,false,false,380.0,57.038468472,1.5970771172159999,15.11519414508,0.0,1700.0
2339,7460,CH,IT,2,false,false,false,220.0,34.912109832,2.199462919416,12.56835953952,0.0,490.0
4794,7483,CH,FR,2,false,false,false,220.0,53.869944564,3.393806507532,19.39318004304,0.0,490.0
7308,7483,XX,XX,2,false,false,false,220.0,17.753822133,1.118490794379,6.391375967879999,0.0,490.0
5510,7483,CH,FR,2,false,false,false,220.0,5.693525812,0.358692126156,2.04966929232,0.0,490.0
5525,7505,CH,CH,2,false,false,false,220.0,26.175220667,1.6490389020210001,9.42307944012,0.0,490.0
5539,7505,CH,CH,2,false,false,false,220.0,18.055395261999998,1.1374899015059998,6.4999422943199985,0.0,490.0
5523,7505,CH,CH,2,false,false,false,220.0,10.661781357,0.671692225491,3.83824128852,0.0,490.0
5526,7608,CH,CH,2,false,false,false,380.0,5.075593456,0.142116616768,1.34503226584,0.0,1700.0
5529,7608,CH,CH,2,false,false,false,380.0,5.599404052,0.156783313456,1.48384207378,0.0,1700.0
5544,7670,CH,CH,2,false,false,false,380.0,12.143480483,0.340017453524,3.218022327995,0.0,1700.0
5542,7670,CH,CH,2,false,false,false,380.0,9.276700057,0.25974760159599997,2.458325515105,0.0,1700.0
5625,7669,CH,CH,2,false,false,false,220.0,26.921908789,1.6960802537069999,9.691887164039999,0.0,490.0
5516,7686,CH,CH,2,false,false,false,220.0,20.518978017000002,1.292695615071,7.38683208612,0.0,490.0
5518,7686,CH,CH,2,false,false,false,220.0,10.728567115,0.675899728245,3.8622841614,0.0,490.0
5521,7686,CH,CH,2,false,false,false,220.0,8.593976965,0.541420548795,3.0938317073999997,0.0,490.0
5611,7691,CH,CH,2,false,false,false,380.0,29.069882526,0.813956710728,7.703518869390001,0.0,1700.0
5592,7691,CH,CH,2,false,false,false,380.0,19.480173981,0.545444871468,5.162246104965,0.0,1700.0
5621,7704,CH,CH,1,false,false,false,220.0,5.3068549030000005,0.334331858889,1.9104677650800002,0.0,490.0
5570,7704,CH,CH,1,false,false,false,220.0,10.512471079,0.6622856779770001,3.78448958844,0.0,490.0
5613,7732,CH,CH,2,false,false,false,220.0,15.389552127,0.969541784001,5.54023876572,0.0,490.0
7704,7732,CH,CH,2,false,false,false,220.0,21.743430618999998,1.3698361289969998,7.827635022839999,0.0,490.0
5624,7732,CH,CH,2,false,false,false,220.0,10.223097622,0.6440551501859999,3.6803151439199997,0.0,490.0
7691,7753,CH,CH,2,false,false,false,380.0,23.422210734,0.6558219005520001,6.20688584451,0.0,1700.0
5612,7753,CH,CH,2,false,false,false,380.0,30.271666191,0.847606653348,8.021991540615002,0.0,1700.0
5614,7762,CH,CH,2,false,false,false,380.0,12.732812592,0.356518752576,3.37419533688,0.0,1700.0
5538,7762,CH,CH,2,false,false,false,380.0,7.711980904,0.215935465312,2.0436749395600002,0.0,1700.0
5524,7768,CH,CH,2,false,false,false,380.0,27.822885241,0.779040786748,7.373064588865001,0.0,1700.0
5546,7768,CH,CH,2,false,false,false,380.0,34.404539706,0.963327111768,9.11720302209,0.0,1700.0
5534,7768,CH,CH,2,false,false,false,380.0,31.64915337,0.88617629436,8.38702564305,0.0,1700.0
5544,7804,CH,CH,2,false,false,false,380.0,49.41797269,1.38370323532,13.09576276285,0.0,1700.0
5576,7804,CH,CH,1,false,false,false,380.0,52.746515127,1.476902423556,13.977826508655001,0.0,1700.0
5572,7804,CH,CH,2,false,false,false,380.0,7.493005494,0.20980415383200002,1.9856464559100002,0.0,1700.0
5601,7809,CH,CH,2,false,false,false,220.0,11.974050112,0.754365157056,4.31065804032,0.0,490.0
5619,7809,CH,CH,1,false,false,false,220.0,8.596386654,0.541572359202,3.0946991954399996,0.0,490.0
5843,7809,CH,CH,2,false,false,false,220.0,14.785908879,0.9315122593770001,5.32292719644,0.0,490.0
7733,7819,CH,CH,2,false,false,false,380.0,10.498768988,0.293965531664,2.78217378182,0.0,1700.0
5191,7819,XX,XX,2,false,false,false,380.0,19.057402517,0.533607270476,5.050211667005001,0.0,1700.0
5568,7819,CH,CH,2,false,false,false,380.0,10.498768988,0.293965531664,2.78217378182,0.0,1700.0
5522,7829,CH,CH,1,false,false,false,220.0,14.40887153,0.90775890639,5.1871937508,0.0,490.0
5520,7829,CH,CH,1,false,false,false,220.0,6.975662628,0.439466745564,2.51123854608,0.0,490.0
5623,7829,CH,CH,1,false,false,false,220.0,7.702008854,0.48522655780199997,2.77272318744,0.0,490.0
