bus_id,name,country,long_type,capacity,longitude,latitude,type,category,H,marginal_cost
4066,Işalniţa,RO,fossil_brown_lignite,566.0,23.752441,44.370987,LI,C,6.0,24
4466,Golfech,FR,nuclear,2620.0,0.988770000000011,44.103365,NU,N,6.0,16
4072,Munteni,RO,hydro_ror,53.0,22.807617,46.920255,RR,H,3.0,10
4072,Mărişelu,RO,hydro_ror,216.0,23.181152,46.709736,RR,H,3.0,10
4060,Paroşeni,RO,fossil_brown_lignite,135.0,23.071289,45.413876,LI,C,6.0,24
4061,Brădişor,RO,hydro_ror,100.0,24.136963,45.467836,RR,H,3.0,10
4040,Olt S,RO,hydro_ror,104.0,24.818115,45.882361,RR,H,3.0,10
500,V. Dejes,AL,hydro_pure_storage,250.0,19.445801,42.032974,DA,H,4.0,80
4245,Koman,AL,hydro_pure_storage,600.0,19.89624,42.163403,DA,H,4.0,80
4159,Fierze,AL,hydro_pure_storage,500.0,20.269775,42.081917,DA,H,4.0,80
4284,Ferlach,AT,hydro_ror,75.0,14.359131,46.505954,RR,H,3.0,10
4284,Feistritz,AT,hydro_ror,88.0,14.194336,46.490829,RR,H,3.0,10
4311,Edling,AT,hydro_ror,87.0,14.512939,46.460566,RR,H,3.0,10
4322,Malta -Oberstufe,AT,hydro_pure_ps,120.0,13.40332,46.957761,PS,H,3.0,100
5845,Außerfragrant,AT,hydro_ror,96.0,12.908936,46.957761,RR,H,3.0,10
5845,Innerfragrant,AT,hydro_mixed,172.0,12.843018,47.032695,HY,H,3.0,60
4322,Malta -Hauptstufe,AT,hydro_pure_ps,730.0,13.546143,46.897739,PS,H,3.0,100
4311,Schwabeck,AT,hydro_ror,79.0,14.72168,46.596619,RR,H,3.0,10
4319,Braunau,AT,hydro_ror,102.0,12.908936,48.158757,RR,H,3.0,10
4319,Egglfing,DE,hydro_ror,80.699997,13.150635,48.363549,RR,H,3.0,10
4286,Aschach,AT,hydro_ror,324.0,13.94165,48.487486,RR,H,3.0,10
4286,Ottensheim,AT,hydro_ror,179.0,13.974609,48.334343,RR,H,3.0,10
