bus_id,name,country,long_type,capacity,longitude,latitude,type,category
7014,Wind FR 90,FR,wind,46.8,1.40625,46.437857,WD,R
4961,Wind FR 91,FR,wind,21.2,2.54882799999999,50.611132,WD,R
4661,Wind FR 92,FR,wind,3.0,4.735107,44.370987,WD,R
5962,Wind FR 93,FR,wind,346.74999999999994,2.120361,50.492463,WD,R
4918,Wind FR 94,FR,wind,101.0,0.802002000000004,49.837982,WD,R
5018,Wind FR 95,FR,wind,32.0,7.03125,49.05947,WD,R
4917,Wind FR 96,FR,wind,120.0,1.373291,49.979488,WD,R
7375,Wind FR 97,FR,wind,36.16,-1.40279958946155,49.3123868702144,WD,R
6154,Wind FR 98,FR,wind,37.2,-1.417236,46.596619,WD,R
3078,Wind FR 99,FR,wind,16.05,5.976562,49.482401,WD,R
4885,Wind FR 100,FR,wind,211.64999999999998,4.119873,48.363549,WD,R
6164,Wind FR 101,FR,wind,223.9,-2.30712900000001,47.916342,WD,R
7017,Wind FR 102,FR,wind,36.75,1.40749511146604,49.6195421718321,WD,R
6146,Wind FR 103,FR,wind,31.54,-2.63671899999999,47.643186,WD,R
5101,Wind FR 104,FR,wind,48.4,5.77880899999999,43.508721,WD,R
7379,Wind FR 105,FR,wind,139.175,1.7127828297346,48.3115796965564,WD,R
4882,Wind FR 106,FR,wind,117.65999999999998,3.91113299999999,47.480088,WD,R
6950,Wind FR 107,FR,wind,31.9,-0.010986000000005,48.618385,WD,R
4647,Wind FR 108,FR,wind,29.1,4.20776400000001,44.676466,WD,R
6066,Wind FR 109,FR,wind,72.3,2.88940400000001,42.690511,WD,R
6987,Wind FR 110,FR,wind,32.3,-1.40644699726759,48.1588212452246,WD,R
4968,Wind FR 111,FR,wind,19.799999999999997,6.273193,48.319734,WD,R
4599,Wind FR 112,FR,wind,36.0,3.72436500000001,43.659924,WD,R
6079,Wind FR 113,FR,wind,214.191,0.274658000000005,46.362093,WD,R
5861,Wind FR 114,FR,wind,19.0,6.70165999999999,49.296472,WD,R
4571,Wind FR 115,FR,wind,163.70000000000002,2.75756800000001,42.698586,WD,R
4756,Wind FR 116,FR,wind,2.7,5.88867200000001,44.801327,WD,R
7343,Wind FR 117,FR,wind,16.25,3.48266599999999,49.28214,WD,R
4909,Wind FR 118,FR,wind,127.52,4.251709,48.987427,WD,R
4923,Wind FR 119,FR,wind,180.75,2.28515599999999,49.965356,WD,R
7403,Wind FR 120,FR,wind,29.099999999999998,1.40522192445109,50.0012999491174,WD,R
6159,Wind FR 121,FR,wind,164.15,-1.417236,47.687579,WD,R
4549,Wind FR 122,FR,wind,64.0,-0.164794999999993,49.081062,WD,R
4950,Wind FR 123,FR,wind,59.400000000000006,3.35082999999999,50.317408,WD,R
5951,Wind FR 124,FR,wind,105.432,-0.64819299999999,48.334343,WD,R
6149,Wind FR 125,FR,wind,39.839999999999996,-2.076416,47.435519,WD,R
4562,Wind FR 126,FR,wind,20.0,0.307616999999998,49.231947,WD,R
4823,Wind FR 127,FR,wind,15.0,2.39502000000001,48.487486,WD,R
7510,Wind FR 128,FR,wind,12.15,-1.52709999999999,47.107523,WD,R
4800,Wind FR 129,FR,wind,142.9,6.591797,47.383474,WD,R
