bus_id1,bus_id2,voltage1,voltage2,is_transformer,r,x,fmax
3242,3243,220.0,380.0,true,2.0,55.0,1000.0
4618,4619,220.0,380.0,true,2.0,55.0,1000.0
5201,5202,220.0,380.0,true,2.0,55.0,1000.0
2886,2887,220.0,380.0,true,2.0,55.0,1000.0
5115,5116,220.0,380.0,true,2.0,55.0,1000.0
189,190,220.0,380.0,true,2.0,55.0,1000.0
1655,1656,220.0,380.0,true,2.0,55.0,1000.0
5555,5556,220.0,380.0,true,2.0,55.0,1000.0
1633,1634,220.0,380.0,true,2.0,55.0,1000.0
323,324,220.0,380.0,true,2.0,55.0,1000.0
4751,4752,220.0,380.0,true,2.0,55.0,1000.0
1538,1539,220.0,380.0,true,2.0,55.0,1000.0
4614,4615,220.0,380.0,true,2.0,55.0,1000.0
2487,2488,132.0,380.0,true,2.0,55.0,1000.0
5428,5429,220.0,380.0,true,2.0,55.0,1000.0
6656,6657,220.0,380.0,true,2.0,55.0,1000.0
125,126,132.0,380.0,true,2.0,55.0,1000.0
5043,5044,220.0,380.0,true,2.0,55.0,1000.0
5124,5125,220.0,380.0,true,2.0,55.0,1000.0
5903,5904,220.0,380.0,true,2.0,55.0,1000.0
1697,1698,220.0,380.0,true,2.0,55.0,1000.0
2738,2739,220.0,380.0,true,2.0,55.0,1000.0
6244,6245,220.0,380.0,true,2.0,55.0,1000.0
1709,1710,220.0,380.0,true,2.0,55.0,1000.0
5609,5610,220.0,380.0,true,2.0,55.0,1000.0
1707,1708,220.0,380.0,true,2.0,55.0,1000.0
4327,4328,220.0,380.0,true,2.0,55.0,1000.0
2758,2759,220.0,380.0,true,2.0,55.0,1000.0
4313,4314,220.0,380.0,true,2.0,55.0,1000.0
4399,4400,220.0,380.0,true,2.0,55.0,1000.0
1758,1759,220.0,380.0,true,2.0,55.0,1000.0
4414,4415,220.0,380.0,true,2.0,55.0,1000.0
2509,2510,220.0,380.0,true,2.0,55.0,1000.0
2984,2985,220.0,380.0,true,2.0,55.0,1000.0
2720,2721,220.0,380.0,true,2.0,55.0,1000.0
4301,4302,220.0,380.0,true,2.0,55.0,1000.0
2402,2403,132.0,220.0,true,2.0,55.0,1000.0
2339,2340,220.0,380.0,true,2.0,55.0,1000.0
5174,5175,220.0,380.0,true,2.0,55.0,1000.0
4668,4669,220.0,380.0,true,2.0,55.0,1000.0
208,209,220.0,380.0,true,2.0,55.0,1000.0
4369,4370,220.0,380.0,true,2.0,55.0,1000.0
2764,2765,220.0,380.0,true,2.0,55.0,1000.0
3346,3347,220.0,380.0,true,2.0,55.0,1000.0
4843,4844,220.0,380.0,true,2.0,55.0,1000.0
2700,2701,220.0,380.0,true,2.0,55.0,1000.0
2762,2763,220.0,380.0,true,2.0,55.0,1000.0
158,159,220.0,380.0,true,2.0,55.0,1000.0
2363,2364,220.0,380.0,true,2.0,55.0,1000.0
253,254,220.0,380.0,true,2.0,55.0,1000.0
4895,4896,220.0,380.0,true,2.0,55.0,1000.0
527,528,220.0,380.0,true,2.0,55.0,1000.0
5601,5602,220.0,380.0,true,2.0,55.0,1000.0
5316,5317,220.0,380.0,true,2.0,55.0,1000.0
6167,6168,220.0,380.0,true,2.0,55.0,1000.0
6354,6355,220.0,380.0,true,2.0,55.0,1000.0
2938,2939,220.0,380.0,true,2.0,55.0,1000.0
2921,2922,220.0,380.0,true,2.0,55.0,1000.0
4835,4836,220.0,380.0,true,2.0,55.0,1000.0
2687,2688,220.0,380.0,true,2.0,55.0,1000.0
4708,4709,220.0,380.0,true,2.0,55.0,1000.0
6580,6581,220.0,380.0,true,2.0,55.0,1000.0
2710,2711,220.0,380.0,true,2.0,55.0,1000.0
4911,4912,220.0,380.0,true,2.0,55.0,1000.0
316,317,220.0,380.0,true,2.0,55.0,1000.0
4929,4930,220.0,380.0,true,2.0,55.0,1000.0
1584,1585,220.0,380.0,true,2.0,55.0,1000.0
5246,5247,220.0,380.0,true,2.0,55.0,1000.0
3256,3257,220.0,380.0,true,2.0,55.0,1000.0
4769,4770,220.0,380.0,true,2.0,55.0,1000.0
2662,2663,220.0,380.0,true,2.0,55.0,1000.0
3337,3338,220.0,380.0,true,2.0,55.0,1000.0
3311,3312,380.0,750.0,true,2.0,55.0,1000.0
6552,6553,220.0,380.0,true,2.0,55.0,1000.0
1734,1735,220.0,380.0,true,2.0,55.0,1000.0
6229,6230,220.0,380.0,true,2.0,55.0,1000.0
2668,2669,220.0,380.0,true,2.0,55.0,1000.0
3289,3290,220.0,380.0,true,2.0,55.0,1000.0
2868,2869,220.0,380.0,true,2.0,55.0,1000.0
4636,4637,220.0,380.0,true,2.0,55.0,1000.0
5833,5834,220.0,380.0,true,2.0,55.0,1000.0
2680,2681,220.0,380.0,true,2.0,55.0,1000.0
5461,5462,220.0,380.0,true,2.0,55.0,1000.0
2991,2992,132.0,220.0,true,2.0,55.0,1000.0
5604,5605,220.0,380.0,true,2.0,55.0,1000.0
4511,4512,220.0,380.0,true,2.0,55.0,1000.0
4023,4024,380.0,750.0,true,2.0,55.0,1000.0
2970,2971,220.0,380.0,true,2.0,55.0,1000.0
2991,2993,132.0,380.0,true,2.0,55.0,1000.0
2730,2731,220.0,380.0,true,2.0,55.0,1000.0
6236,6237,220.0,380.0,true,2.0,55.0,1000.0
4571,4572,220.0,380.0,true,2.0,55.0,1000.0
2866,2867,220.0,380.0,true,2.0,55.0,1000.0
203,204,220.0,380.0,true,2.0,55.0,1000.0
6287,6288,220.0,380.0,true,2.0,55.0,1000.0
2369,2370,220.0,380.0,true,2.0,55.0,1000.0
1495,1496,220.0,380.0,true,2.0,55.0,1000.0
5855,5856,220.0,380.0,true,2.0,55.0,1000.0
2871,2872,220.0,380.0,true,2.0,55.0,1000.0
4984,4985,220.0,380.0,true,2.0,55.0,1000.0
6133,6134,220.0,380.0,true,2.0,55.0,1000.0
3710,3711,220.0,380.0,true,2.0,55.0,1000.0
2524,2525,132.0,220.0,true,2.0,55.0,1000.0
6666,6667,220.0,380.0,true,2.0,55.0,1000.0
6247,6248,220.0,380.0,true,2.0,55.0,1000.0
2431,2432,132.0,220.0,true,2.0,55.0,1000.0
2436,2437,132.0,380.0,true,2.0,55.0,1000.0
5227,5228,220.0,380.0,true,2.0,55.0,1000.0
5339,5340,220.0,380.0,true,2.0,55.0,1000.0
2382,2383,220.0,380.0,true,2.0,55.0,1000.0
3692,3693,220.0,380.0,true,2.0,55.0,1000.0
4741,4742,220.0,380.0,true,2.0,55.0,1000.0
2728,2729,220.0,380.0,true,2.0,55.0,1000.0
5207,5208,220.0,380.0,true,2.0,55.0,1000.0
4904,4905,220.0,380.0,true,2.0,55.0,1000.0
2525,2526,220.0,380.0,true,2.0,55.0,1000.0
5076,5077,220.0,380.0,true,2.0,55.0,1000.0
4825,4826,220.0,380.0,true,2.0,55.0,1000.0
5551,5552,220.0,380.0,true,2.0,55.0,1000.0
6328,6329,220.0,380.0,true,2.0,55.0,1000.0
6214,6215,220.0,380.0,true,2.0,55.0,1000.0
505,506,220.0,380.0,true,2.0,55.0,1000.0
496,497,220.0,380.0,true,2.0,55.0,1000.0
2461,2462,132.0,380.0,true,2.0,55.0,1000.0
4679,4680,220.0,380.0,true,2.0,55.0,1000.0
1749,1750,220.0,380.0,true,2.0,55.0,1000.0
4031,4032,220.0,380.0,true,2.0,55.0,1000.0
2855,2856,220.0,380.0,true,2.0,55.0,1000.0
2374,2375,220.0,380.0,true,2.0,55.0,1000.0
1510,1511,220.0,380.0,true,2.0,55.0,1000.0
4311,4312,220.0,380.0,true,2.0,55.0,1000.0
2999,3000,220.0,380.0,true,2.0,55.0,1000.0
2519,2520,132.0,380.0,true,2.0,55.0,1000.0
6320,6321,220.0,380.0,true,2.0,55.0,1000.0
5035,5036,220.0,380.0,true,2.0,55.0,1000.0
4433,4434,220.0,380.0,true,2.0,55.0,1000.0
3949,3950,220.0,380.0,true,2.0,55.0,1000.0
2842,2843,220.0,380.0,true,2.0,55.0,1000.0
5545,5546,220.0,380.0,true,2.0,55.0,1000.0
1559,1560,220.0,380.0,true,2.0,55.0,1000.0
161,162,220.0,380.0,true,2.0,55.0,1000.0
229,230,220.0,380.0,true,2.0,55.0,1000.0
3927,3928,220.0,380.0,true,2.0,55.0,1000.0
88,89,220.0,380.0,true,2.0,55.0,1000.0
508,509,220.0,380.0,true,2.0,55.0,1000.0
5048,5049,220.0,380.0,true,2.0,55.0,1000.0
4860,4861,220.0,380.0,true,2.0,55.0,1000.0
2874,2875,220.0,380.0,true,2.0,55.0,1000.0
4950,4951,220.0,380.0,true,2.0,55.0,1000.0
2760,2761,220.0,380.0,true,2.0,55.0,1000.0
2702,2703,220.0,380.0,true,2.0,55.0,1000.0
2654,2655,220.0,380.0,true,2.0,55.0,1000.0
4586,4587,220.0,380.0,true,2.0,55.0,1000.0
2643,2644,220.0,380.0,true,2.0,55.0,1000.0
2659,2660,220.0,380.0,true,2.0,55.0,1000.0
2982,2983,220.0,380.0,true,2.0,55.0,1000.0
1565,1566,220.0,380.0,true,2.0,55.0,1000.0
4794,4795,220.0,380.0,true,2.0,55.0,1000.0
4952,4953,220.0,380.0,true,2.0,55.0,1000.0
3234,3235,220.0,380.0,true,2.0,55.0,1000.0
2479,2480,132.0,380.0,true,2.0,55.0,1000.0
5069,5070,220.0,380.0,true,2.0,55.0,1000.0
4823,4824,220.0,380.0,true,2.0,55.0,1000.0
5150,5151,220.0,380.0,true,2.0,55.0,1000.0
4962,4963,220.0,380.0,true,2.0,55.0,1000.0
1579,1580,220.0,380.0,true,2.0,55.0,1000.0
5878,5879,220.0,380.0,true,2.0,55.0,1000.0
1659,1660,220.0,380.0,true,2.0,55.0,1000.0
4103,4104,220.0,380.0,true,2.0,55.0,1000.0
4057,4058,220.0,380.0,true,2.0,55.0,1000.0
1517,1518,220.0,380.0,true,2.0,55.0,1000.0
4628,4629,220.0,380.0,true,2.0,55.0,1000.0
4528,4529,220.0,380.0,true,2.0,55.0,1000.0
2387,2388,220.0,380.0,true,2.0,55.0,1000.0
2814,2815,220.0,380.0,true,2.0,55.0,1000.0
5097,5098,220.0,380.0,true,2.0,55.0,1000.0
232,233,220.0,380.0,true,2.0,55.0,1000.0
5190,5191,220.0,380.0,true,2.0,55.0,1000.0
1575,1576,220.0,380.0,true,2.0,55.0,1000.0
